hindi,english
है,is
।,.
के,The
मैं,I
नहीं,No
हैं,Huh
में,in
एक,One
आप,you
लिए,For
और,And
यह,this
से,From
की,Of
क्या,What
कि,That
तुम,you
हो,Ho
कर,Tax
मुझे,me
को,To
हम,We
था,Was
वह,that
पर,On
हूँ,I
रहे,are
भी,Too
रहा,Stayed
का,Of
अपने,Ours
कुछ,some
तो,so
गया,Gone
इस,this
मेरे,my
ठीक,OK
करने,To
किया,did
साथ,with
उसे,Him
हाँ,Yes
वे,They
सकते,Can
लेकिन,but
यहाँ,here
तुम्हें,You
कोई,someone
तरह,Kind
अब,Now
पता,Know
होगा,Will happen
बहुत,very
बात,talk
सकता,Can
जाओ,go
ही,Only
दिया,Given
करना,do
जा,Going
मेरी,Mine
सब,All
बारे,About
लगता,Think
कहा,said
जो,that
वहाँ,there
जब,when
इसे,him
अच्छा,good
चाहिए,needed
बाहर,outside
करो,Women
क्यों,Why
अपनी,mine
थे,Were
चलो,Let's go
दो,two
ले,Take
किसी,Any
फिर,Again
काम,work
अगर,If
ये,these
कैसे,how
करते,Do
पहले,first
बस,Just
चाहते,Want
जाएगा,Will
आदमी,man
कभी,ever
समय,Time
वापस,back
हमें,Us
रही,doing
आ,come
तक,By
हमारे,our
मेरा,my
रूप,form
मैंने,I
करता,Offers
या,or
अभी,now
मिल,Mill
चाहता,Wants
घर,House
उसके,his
सभी,All
उस,That
मत,Not
आपको,you
जाना,to go
अरे,Hey
सिर्फ,Only
बंद,Close
ओह,"Oh, is that so"
उन्हें,them
सही,right
हूं,I
थी,was
देखो,Look
ने,has
तुम्हारे,Your
प्यार,Love
वो,they
जरूरत,Need
लोगों,People
हुआ,happen
करें,Make
ऐसा,Like this
उन्होंने,They
दिन,day
न,not
बाद,after
कौन,Who
हर,every
पास,near
दे,Give
नीचे,bottom
देखा,saw
जाता,go
बार,times
कृपया,Please
धन्यवाद,Thank you
पिता,husband
करेंगे,do
भगवान,God
क्योंकि,Because
लोग,People
वाला,The
जानते,Know
देख,See
छोड़,leave
आज,today
मतलब,meaning
कहाँ,where
जीवन,life
आओ,come
जाने,To
अधिक,Excess
यही,This only
होता,Happen
सर,head
मदद,help
रात,night
माँ,mother
लिया,took
केवल,In college
तुमने,You
सबसे,from all
नाम,Name
मार,Kill
हुए,The
हमेशा,always
याद,remember
कारण,cause
गए,went
आया,He Came
जानता,knows
शायद,Maybe
साल,year
दूर,away
हे,O
होने,Having
फोन,Phone
